0.0,3887941.841824,332847.083909,5028273.393308
0.1,3887941.778130,332847.109166,5028273.440567
0.2,3887941.714435,332847.134423,5028273.487826
0.3,3887941.650741,332847.159680,5028273.535085
0.4,3887941.587047,332847.184937,5028273.582344
0.5,3887941.523352,332847.210195,5028273.629603
0.6,3887941.459658,332847.235452,5028273.676862
0.7,3887941.395964,332847.260709,5028273.724121
0.8,3887941.332269,332847.285966,5028273.771380
0.9,3887941.268575,332847.311223,5028273.818640
1.0,3887941.204881,332847.336480,5028273.865899
1.1,3887941.141186,332847.361738,5028273.913158
1.2,3887941.077492,332847.386995,5028273.960417
1.3,3887941.013797,332847.412252,5028274.007676
1.4,3887940.950103,332847.437509,5028274.054935
1.5,3887940.886409,332847.462766,5028274.102194
1.6,3887940.822714,332847.488024,5028274.149453
1.7,3887940.759020,332847.513281,5028274.196712
1.8,3887940.695326,332847.538538,5028274.243971
1.9,3887940.631631,332847.563795,5028274.291230
2.0,3887940.567937,332847.589052,5028274.338490
2.1,3887940.504243,332847.614309,5028274.385749
2.2,3887940.440548,332847.639567,5028274.433008
2.3,3887940.376854,332847.664824,5028274.480267
2.4,3887940.313159,332847.690081,5028274.527526
2.5,3887940.249465,332847.715338,5028274.574785
2.6,3887940.185771,332847.740595,5028274.622044
2.7,3887940.122076,332847.765852,5028274.669303
2.8,3887940.058382,332847.791110,5028274.716562
2.9,3887939.994688,332847.816367,5028274.763821
3.0,3887939.930993,332847.841624,5028274.811080
3.1,3887939.867299,332847.866881,5028274.858339
3.2,3887939.803604,332847.892138,5028274.905598
3.3,3887939.739910,332847.917396,5028274.952857
3.4,3887939.676216,332847.942653,5028275.000117
3.5,3887939.612521,332847.967910,5028275.047376
3.6,3887939.548827,332847.993167,5028275.094635
3.7,3887939.485133,332848.018424,5028275.141894
3.8,3887939.421438,332848.043681,5028275.189153
3.9,3887939.357744,332848.068939,5028275.236412
4.0,3887939.294049,332848.094196,5028275.283671
4.1,3887939.230355,332848.119453,5028275.330930
4.2,3887939.166661,332848.144710,5028275.378189
4.3,3887939.102966,332848.169967,5028275.425448
4.4,3887939.039272,332848.195224,5028275.472707
4.5,3887938.975577,332848.220482,5028275.519966
4.6,3887938.911883,332848.245739,5028275.567225
4.7,3887938.848189,332848.270996,5028275.614484
4.8,3887938.784494,332848.296253,5028275.661743
4.9,3887938.720800,332848.321510,5028275.709002
5.0,3887938.657106,332848.346768,5028275.756262
5.1,3887938.593411,332848.372025,5028275.803521
5.2,3887938.529717,332848.397282,5028275.850780
5.3,3887938.466022,332848.422539,5028275.898039
5.4,3887938.402328,332848.447796,5028275.945298
5.5,3887938.338634,332848.473053,5028275.992557
5.6,3887938.274939,332848.498311,5028276.039816
5.7,3887938.211245,332848.523568,5028276.087075
5.8,3887938.147550,332848.548825,5028276.134334
5.9,3887938.083856,332848.574082,5028276.181593
6.0,3887938.020162,332848.599339,5028276.228852
6.1,3887937.956467,332848.624596,5028276.276111
6.2,3887937.892773,332848.649854,5028276.323370
6.3,3887937.829078,332848.675111,5028276.370629
6.4,3887937.765384,332848.700368,5028276.417888
6.5,3887937.701690,332848.725625,5028276.465147
6.6,3887937.637995,332848.750882,5028276.512406
6.7,3887937.574301,332848.776140,5028276.559665
6.8,3887937.510606,332848.801397,5028276.606924
6.9,3887937.447775,332848.828396,5028276.653406
7.0,3887937.384943,332848.855396,5028276.699888
7.1,3887937.322112,332848.882395,5028276.746370
7.2,3887937.259280,332848.909395,5028276.792851
7.3,3887937.196449,332848.936394,5028276.839333
7.4,3887937.133617,332848.963393,5028276.885815
7.5,3887937.070786,332848.990393,5028276.932297
7.6,3887937.007954,332849.017392,5028276.978778
7.7,3887936.945123,332849.044392,5028277.025260
7.8,3887936.882291,332849.071391,5028277.071742
7.9,3887936.819460,332849.098391,5028277.118224
8.0,3887936.756628,332849.125390,5028277.164705
8.1,3887936.693797,332849.152390,5028277.211187
8.2,3887936.630965,332849.179389,5028277.257669
8.3,3887936.568133,332849.206388,5028277.304151
